slug,title,date_published,category,top_3_tags,word_count,gsc_clicks_16mo,gsc_impressions_16mo,avg_position,action,reassign_to,first_200_chars,live_url,redirect_to
what-is-sherry-wine-basics-sherry-week,Bite-size Sherry Basics,2025-10-01,Wine,"sherry, wine, winebird",65,0,0,,drop,,"Don't ignore Sherry because you once tasted the sweet stuff your Nan drinks. Real Sherry is a whole world of moreish deliciousness! In this video, Helena answers the big questions: What is Sherry? Wha",https://www.thethreedrinkers.com/magazine-content/what-is-sherry-wine-basics-sherry-week,
meet-the-french-wine-region-the-experts-have-their-eyes-on-ventoux,Meet the French wine region the experts have their eyes on: Ventoux AOC,2025-07-08,Wine,,1068,0,0,,drop,,"Last week, I had the absolute pleasure of hosting a wine tasting event in the sky. Why would I hang from a crane 100ft above terra firma to talk to an audience over dinner about wine, you may ask? We ",https://www.thethreedrinkers.com/magazine-content/meet-the-french-wine-region-the-experts-have-their-eyes-on-ventoux,
krug-vs-dom-perignon-champagne,Krug Vs Dom Pérignon: The Prince &amp; The Pauper,2020-04-22,Wine,"champagne, Dom Perignon, helena nicklin",1708,2101,58288,12.5,drop,,"Written originally for Savile Row Style Magazine by Helena Nicklin Understated elegance and purity or stylish opulence and glamour. Which do you prefer? If you ask me, I’ll say both (and in magnum, pl",https://www.thethreedrinkers.com/magazine-content/krug-vs-dom-perignon-champagne,
sherry-guide-sherry-week,Your ABC guide to Sherry Styles,2023-11-07,"Wine, Guides","wine, wine tips, sherry",1047,0,0,,drop,,"It’s Sherry week, so what better time to get to know this misunderstood and underated tipple? Sherry lovers around the world have been banging the drum for these unique, moreishly saline, food friendl",https://www.thethreedrinkers.com/magazine-content/sherry-guide-sherry-week,
7-wines-for-an-indian-summer,7 Wines for an Indian Summer!,2023-09-08,Wine,"white wine, wine expert, Best summer wines",477,0,0,,drop,,"The sun is back out and we’re in for some glorious, warm evenings. Here are seven of my favourite summer sippers from this year to elongate that holiday feeling! Mar de Frades Albariño Atlantico Razor",https://www.thethreedrinkers.com/magazine-content/7-wines-for-an-indian-summer,
drinky-desserts-sweet-wine-styles-cocktails-sweet-wines-for-cocktails,Drinky Desserts: Your Guide to Sweet Wine Styles,2023-09-01,"Wine, Guides, Cocktails","sweet wine, cocktails, mixology",882,0,0,,drop,,"No longer relegated to the ‘what do I do with this?’ cupboard or have a capful for cooking and the rest left to gather dust, no no no. Sweet wines are back and FINALLY showing their worth to a whole n",https://www.thethreedrinkers.com/magazine-content/drinky-desserts-sweet-wine-styles-cocktails-sweet-wines-for-cocktails,
vermouth-cocktail-recipes-cocchi-vermouth-di-torino,"One Drink, Three Ways: Cocchi Vermouth di Torino",2020-12-09,"Spirits, Cocktails","one drink three ways, cocktails, vermouth",498,1460,41444,16.1,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves that you can enjoy anytime, anywhere. F",https://www.thethreedrinkers.com/magazine-content/vermouth-cocktail-recipes-cocchi-vermouth-di-torino,
whisky-infused-with-a-severed-human-toe-anyone,"Whisky Infused with a Severed Human Toe, Anyone?",2020-04-15,"Whisky, Cocktails","cocktail, whisky",490,1066,141420,7.6,drop,,"[caption id="""" align=""alignnone"" width=""880""] Photo courtesy of cultofweird.com [/caption] Words by Helena Nicklin ""You can drink it fast, you can drink it slow. But your lips must touch that gnarly t",https://www.thethreedrinkers.com/magazine-content/whisky-infused-with-a-severed-human-toe-anyone,
rude-name-drinks,12 Hilariously Unfortunate (and Downright Naughty) Drinks Names,2020-07-07,"Beer, Wine","wine, naughty wine, rude wine",729,1058,45156,14.8,,AidySmith,"It’s one of our greatest joys, finding products that have brilliantly funny unfortunate translations, from Fanny Tuna and Soup for Sluts to Golden Gaytime Ice Cream. As drinks is what we are all about",https://www.thethreedrinkers.com/magazine-content/rude-name-drinks,
guide-to-albarino-wine-from-rias-baixas-best-wines,One Minute Wine Ace: Albariño,2023-07-27,Wine,"albarino, albarino day, rias baixas",803,0,0,,drop,,"The 1st August is Albariño Day! If you haven’t tried Albariño before, listen up as this is going to be your new, go-to, all rounder, white wine. Trust me… What is Albariño wine and where is it from? A",https://www.thethreedrinkers.com/magazine-content/guide-to-albarino-wine-from-rias-baixas-best-wines,
one-drink-three-ways-albarino-mar-de-frades-rias-baixas-spain,"One Drink, Three Ways: Albariño Mar de Frades",2023-07-26,"Spirits, Guides, Cocktails","one drink three ways, whisky, cocktails",408,0,0,,drop,,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join us as we take one bottle or style and create a trio of phenomenal serves that you can enjoy anytime, anywhere. From rums and ",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-albarino-mar-de-frades-rias-baixas-spain,
the-best-drinks-with-curry,What you Should be Drinking with Curry,2020-05-05,"Beer, Wine, Spirits",,1125,920,47428,6.5,drop,,"Words by Helena Nicklin If, like us, you’re feeling brave enough to try takeaways again, you may be in the mood for a proper Indian takeaway after all that home cooking. Here’s your need-to know guide",https://www.thethreedrinkers.com/magazine-content/the-best-drinks-with-curry,
one-drink-three-ways-noilly-prat-original-dry-vermouth-cocktail,"One Drink, Three Ways: Noilly Prat Original Dry Vermouth",2020-05-19,"Spirits, Cocktails","cognac, vsop cognac, remy martin",498,884,35288,21.5,,AidySmith,"One Drink, Three Ways is the signature feature by The Three Drinkers. Join The Three Drinkers’ Helena, Aidy and Colin as they take one bottle and create a trio of phenomenal serves which you can enjoy",https://www.thethreedrinkers.com/magazine-content/one-drink-three-ways-noilly-prat-original-dry-vermouth-cocktail,
uncle-nearest-founding-father-tennessee-whiskey,"Uncle Nearest: A True, Black, Whiskey Icon",2020-06-03,Spirits,"whiskey, whisky",781,483,58684,11.9,,AidySmith,"You may well know what I’m going to say, but I shall tell you the story regardless. There has never been a more important time to tell it. Events in the US are showing us that we need to do so much mo",https://www.thethreedrinkers.com/magazine-content/uncle-nearest-founding-father-tennessee-whiskey,
best-irish-spirits-and-best-welsh-wine-and-welsh-cream-liqueur,TalkTV: Ireland vs Wales,2023-03-16,"TalkTV, Thursday Club","poitin, ireland, st patricks day",367,0,0,,drop,,"This week on TalkTV with Mike Graham, Helena redeems herself for a poor show of Welsh drinks for St David’s Day while showcasing some of Ireland’s finest for St Patrick’s Day. It’s an Irish-Welsh mash",https://www.thethreedrinkers.com/magazine-content/best-irish-spirits-and-best-welsh-wine-and-welsh-cream-liqueur,
what-is-anosmia-lost-sense-of-smell,Anosmia: The devastating effects of losing your sense of smell,2023-02-20,"Wine, News, Lifestyle",,626,0,0,,drop,,"With a wine tasting career and fragrance studies leading her passions, when Helena lost lost her sense of smell for three weeks with Covid, she panicked. Very luckily for her, it came back. This is no",https://www.thethreedrinkers.com/magazine-content/what-is-anosmia-lost-sense-of-smell,
best-chinese-wine-you-need-to-try,8 Fine Wines From China you Need To Try,2023-01-26,"Guides, China, Wine","Fine wine, Chinese wine",1350,0,0,,drop,,"Have You Tried Wine From China? Over here in the West, you might be forgiven for not having China top of mind when it comes to listing countries that produce fine wine - or any wine for that matter. A",https://www.thethreedrinkers.com/magazine-content/best-chinese-wine-you-need-to-try,
scotch-whisky-cocktails-irn-bru-cocktail-for-burns-night,TalkTV: Scottish Drinks for Burns Night,2023-01-25,"Thursday Club, TalkTV","burns night, talktv, Scotch whisky cocktails",466,0,0,,drop,,"What better way to start your whisky journey is there than to taste a dram or seven this Burns Night! In celebration of the great Scottish Poet Robbie (Rabbie) Burns, we won't; quite be addressing the",https://www.thethreedrinkers.com/magazine-content/scotch-whisky-cocktails-irn-bru-cocktail-for-burns-night,
talktv-drinks-to-celebrate-chinese-new-year,TalkTV: Drinks to Celebrate Chinese New Year,2023-01-19,Wine,"Chinese wine, the three drinkers, baijiu",521,0,0,,drop,,"On the 22nd January 2023, we start to celebrate Chinese New Year. This period is also known as the Lunar New Year, which changes date every year because it is based on the sun and moon cycles, which a",https://www.thethreedrinkers.com/magazine-content/talktv-drinks-to-celebrate-chinese-new-year,
viajante87,Viajante 87,2023-01-19,"Bars, Cocktails, London","London bars, tequila cocktails, Hannah van Houweninge",293,0,0,,drop,,Listen to us when we tell you: Go try Viajante 87 as soon as you can. This newly opened experimental bar is by Los Mochis and the agave-based drinks menu is crafted with a zero waste approach. ‘Waste’,https://www.thethreedrinkers.com/magazine-content/viajante87,
it-london-review-best-london-bars,IT London,2022-12-16,"Lifestyle, Travel, Cocktails",Hannah van Houweninge,254,0,0,,drop,,"Words by Hannah van Houweninge Last week we had the absolute privilege of trying out the new cocktail menu at IT London. The bar is perfectly situated in Mayfair, and a five minute walk from Green Par",https://www.thethreedrinkers.com/magazine-content/it-london-review-best-london-bars,
