slug,title,current_creator,connection_types,clicks,impressions,helena_tags,should_be_authored_by_helena,live_url
2019/4/27/6-best-supermarket-wines-created-by-brilliant-women,6 best supermarket wines created by brilliant women,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/three-drinkers-news/2019/4/27/6-best-supermarket-wines-created-by-brilliant-women
2019/5/14/the-three-drinkers-team-up-with-rabbies-to-offer-whisky-tours-around-scotland,The Three Drinkers team up with Rabbie’s to offer whisky tours around Scotland,HelenaNicklin,authored_by_her|body_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/2019/5/14/the-three-drinkers-team-up-with-rabbies-to-offer-whisky-tours-around-scotland
2019/5/8/coravin-the-ultimate-wine-preservation-gadget,Coravin: The ultimate wine preservation gadget?,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/2019/5/8/coravin-the-ultimate-wine-preservation-gadget
2019/5/8/meet-the-godfathers-of-provenal-ros-domaines-ott,Meet the Godfathers of Provençal rosé: Domaines Ott,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/2019/5/8/meet-the-godfathers-of-provenal-ros-domaines-ott
2019/5/8/one-drink-three-ways-the-macallan-12-year-old,"One Drink, Three Ways: The Macallan 12 Year Old Double Cask",HelenaNicklin,authored_by_her,168,25464,,yes,https://www.thethreedrinkers.com/magazine-content/2019/5/8/one-drink-three-ways-the-macallan-12-year-old
2019/5/8/sassicaia-the-first-super-tuscan,Sassicaia: The first Super Tuscan,helena@thethreedrinkers.com,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/2019/5/8/sassicaia-the-first-super-tuscan
2019/5/9/once-amp-future-wines-with-joel-peterson,Once &amp; Future Wines with Joel Peterson,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/2019/5/9/once-amp-future-wines-with-joel-peterson
3-reasons-to-love-the-small-beer-brew-co,5 Reasons to Love Small Beer,helena@thethreedrinkers.com,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/3-reasons-to-love-the-small-beer-brew-co
3-styles-of-french-ros-you-can-rely-on,3 Styles of French Rosé You Can Rely On,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/3-styles-of-french-ros-you-can-rely-on
4-things-you-need-to-know-about-cogac,4 Things you need to know about Cognac,HelenaNicklin,authored_by_her|tagged_helena,0,0,helena nickljn,yes,https://www.thethreedrinkers.com/magazine-content/4-things-you-need-to-know-about-cogac
5-reasons-to-love-english-wine,5 Reasons to Love English Wine,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/5-reasons-to-love-english-wine
6-stunning-rose-wines-for-the-summer,6 Stunning Rose Wines For The Summer,helena@thethreedrinkers.com,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/6-stunning-rose-wines-for-the-summer
7-wines-for-an-indian-summer,7 Wines for an Indian Summer!,HelenaNicklin,authored_by_her|image_mentions,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/7-wines-for-an-indian-summer
a-new-ultra-rare-champagne-icon-armand-de-brignac-blanc-de-noirs-assemblage-three,"A new, ultra rare Champagne icon: Armand de Brignac, Blanc de Noirs Assemblage Three",HelenaNicklin,authored_by_her|inline_byline|tagged_helena|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/a-new-ultra-rare-champagne-icon-armand-de-brignac-blanc-de-noirs-assemblage-three
a-pride-special-with-aidy-smith,Thursday Club with Talk Radio: A Pride Special... with Aidy!,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/a-pride-special-with-aidy-smith
a-super-tuscan-rising-star-tenuta-di-biserno,A Super Tuscan Rising Star: Tenuta di Biserno,HelenaNicklin,authored_by_her|inline_byline|tagged_helena|image_mentions|body_mentions,0,0,helena nicklin,yes,https://www.thethreedrinkers.com/magazine-content/a-super-tuscan-rising-star-tenuta-di-biserno
a-wine-travel-guide-to-kent,Your Wine Travel Guide to Kent,HelenaNicklin,authored_by_her,0,0,,yes,https://www.thethreedrinkers.com/magazine-content/a-wine-travel-guide-to-kent
